Stereo to mono balanced summing mixer,,,,,,,,,
Mouser #,Mfr. #,Manufacturer,Desc.,RoHS,Lifecycle,Customer Part #,Order Qty.,Price (USD),Ext.: (USD)
568-NYS230,NYS230,REAN,"Phone Connectors 1/4"" STEREO OPEN REAN",RoHS Compliant,,TRS fem in panel,6,$1.22,$7.32 
568-NC3MD-LX-BAG,NC3MD-LX-BAG,Neutrik,XLR Connectors 3P MALE BLACK/SILVR DUPLEX GRD CONTACT,RoHS Compliant,,XLR male out panel,4,$3.18,$12.72 
546-1591XXDSBK,1591XXDSBK,Hammond,"Enclosures, Boxes, & Cases ABS, Economical Type 6x3.2x1.8"" Black",RoHS Compliant,,chassis,1,$5.59,$5.59 
279-YR1B499RCC,YR1B499RCC,TE Connectivity,Metal Film Resistors - Through Hole 499Ohm 1/4W 15PPM,,,499 ohm 0.1%,12,$0.40,$4.80 
660-MFS1/4DCT52R2002,MFS1/4DCT52R2002F,KOA Speer,Metal Film Resistors - Through Hole 20K ohm 1%,RoHS Compliant,,20K ohm 1%,4,$0.10,$0.40 
